ip,port,country,datacenter,status,speed_mbps,speed_mbytes_s,bytes_downloaded,elapsed_seconds
165.154.20.213,443,HK,HKG,ok,1.394,0.174,262144,1.505
74.82.196.20,443,JP,NRT,ok,1.23,0.154,262144,1.705
38.147.171.13,443,HK,HKG,ok,1.227,0.153,262144,1.709
64.83.46.12,443,JP,NRT,ok,1.21,0.151,262144,1.733
64.90.7.42,443,HK,HKG,ok,1.153,0.144,262144,1.82
111.119.193.50,443,SG,SIN,ok,1.135,0.142,262144,1.848
38.47.103.167,443,HK,HKG,ok,1.095,0.137,262144,1.916
151.242.224.43,443,TW,TPE,ok,1.065,0.133,262144,1.969
38.207.177.204,443,HK,HKG,ok,1.052,0.132,262144,1.993
8.222.84.103,443,SG,HKG,ok,1.051,0.131,262144,1.995
156.245.236.112,443,TW,TPE,ok,1.049,0.131,262144,1.999
8.222.70.238,443,SG,HKG,ok,1.04,0.13,262144,2.016
64.83.35.17,443,JP,NRT,ok,1.014,0.127,262144,2.069
38.76.181.100,443,HK,HKG,ok,1.011,0.126,262144,2.074
38.55.199.29,443,HK,HKG,ok,1.0,0.125,262144,2.098
43.160.197.205,443,SG,SIN,ok,0.996,0.124,262144,2.106
149.104.6.15,443,HK,HKG,ok,0.992,0.124,262144,2.114
191.222.213.234,443,JP,NRT,ok,0.992,0.124,262144,2.113
38.147.173.136,443,HK,HKG,ok,0.984,0.123,262144,2.132
38.55.97.172,443,HK,HKG,ok,0.978,0.122,262144,2.145
154.36.154.29,443,JP,NRT,ok,0.971,0.121,262144,2.159
45.89.219.65,443,SG,SIN,ok,0.97,0.121,262144,2.163
64.83.38.37,443,JP,NRT,ok,0.94,0.117,262144,2.232
65.49.237.102,443,JP,NRT,ok,0.929,0.116,262144,2.257
45.145.229.223,443,HK,HKG,ok,0.919,0.115,262144,2.281
103.143.81.178,443,HK,HKG,ok,0.917,0.115,262144,2.286
166.88.61.166,443,HK,HKG,ok,0.915,0.114,262144,2.291
38.55.107.221,443,HK,HKG,ok,0.906,0.113,262144,2.315
68.64.182.121,443,HK,HKG,ok,0.9,0.113,262144,2.33
43.159.4.80,443,SG,SIN,ok,0.895,0.112,262144,2.343
175.29.23.34,443,HK,HKG,ok,0.868,0.109,262144,2.416
103.118.41.121,443,HK,TPE,ok,0.867,0.108,262144,2.419
216.38.170.103,443,HK,SIN,ok,0.857,0.107,262144,2.447
45.194.18.109,443,SG,SIN,ok,0.857,0.107,262144,2.446
64.90.24.236,443,HK,HKG,ok,0.842,0.105,262144,2.492
82.158.88.94,443,HK,HKG,ok,0.841,0.105,262144,2.494
216.23.116.10,443,HK,HKG,ok,0.84,0.105,262144,2.498
38.47.198.28,443,JP,NRT,ok,0.831,0.104,262144,2.523
45.94.41.19,443,SG,SIN,ok,0.831,0.104,262144,2.523
43.160.241.174,443,SG,SIN,ok,0.823,0.103,262144,2.547
96.126.179.246,443,HK,HKG,ok,0.821,0.103,262144,2.555
149.104.2.56,443,HK,HKG,ok,0.809,0.101,262144,2.594
103.242.15.87,443,HK,HKG,ok,0.798,0.1,262144,2.629
156.239.11.208,443,HK,HKG,ok,0.797,0.1,262144,2.632
216.38.170.102,443,HK,SIN,ok,0.797,0.1,262144,2.631
64.90.28.28,443,HK,HKG,ok,0.793,0.099,262144,2.644
156.239.12.210,443,HK,HKG,ok,0.789,0.099,262144,2.659
45.131.179.101,443,HK,HKG,ok,0.788,0.099,262144,2.66
43.156.159.240,443,SG,SIN,ok,0.784,0.098,262144,2.676
82.158.230.241,443,HK,HKG,ok,0.78,0.098,262144,2.687
154.64.246.151,443,HK,HKG,ok,0.776,0.097,262144,2.701
64.90.24.26,443,HK,HKG,ok,0.773,0.097,262144,2.713
82.40.33.173,443,JP,NRT,ok,0.772,0.097,262144,2.715
149.104.5.234,443,HK,HKG,ok,0.77,0.096,262144,2.725
38.47.213.57,443,HK,HKG,ok,0.765,0.096,262144,2.742
38.147.172.53,443,HK,HKG,ok,0.761,0.095,262144,2.757
149.104.3.97,443,HK,HKG,ok,0.755,0.094,262144,2.778
43.156.23.85,443,SG,SIN,ok,0.75,0.094,262144,2.798
