ip,port,country,city,datacenter,asn,organization,source_latency_ms,baidu_delay_ms,tested,cn2,cn2_evidence,trace_url,trace_status,traced_at,route_class,route_evidence
202.55.27.177,443,JP,东京,NRT,4809,China Telecom Next Generation Carrier Network,73.0,2088,True,True,"Guangzhou: 59.43.144.209, 59.43.246.26, 59.43.39.190; Nanjing: 59.43.139.133, 59.43.186.186; Beijing: 59.43.183.2, 59.43.39.98, 59.43.46.82",https://globalping.io?measurement=21pqJP54vnfweuTe800020w5Y,cn2_gia,,cn2_gia,
103.207.69.104,443,HK,香港,HKG,979,NetLab Global,1.0,2605,True,True,"Guangzhou: 59.43.22.41, 59.43.248.250; Nanjing: 59.43.139.109, 59.43.16.166, 59.43.188.122",https://globalping.io?measurement=2xOvbhFIn0XZvNYYY00020wGp,cn2_gt,2026-08-13T05:48:11Z,cn2_gt,"Guangzhou: 59.43.22.41, 59.43.248.250; Nanjing: 59.43.139.109, 59.43.16.166, 59.43.188.122"
103.52.152.38,443,HK,香港,HKG,401701,cognetcloud INC,1.0,2124,True,True,"Nanjing: 59.43.139.117, 59.43.183.110; Shenzhen: 59.43.248.250",https://globalping.io?measurement=2StycnC4pUnF7VjtG00020wGv,cn2_gt,2026-08-13T05:53:35Z,cn2_gt,"Nanjing: 59.43.139.117, 59.43.183.110; Shenzhen: 59.43.248.250"
108.165.155.194,443,HK,香港,HKG,149440,Evoxt Sdn. Bhd.,1.0,2557,True,True,Nanjing: 59.43.139.113; Beijing: 59.43.46.70,https://globalping.io?measurement=2E8Ly14sqavFkc8vS00020wGv,cn2_gt,2026-08-13T05:53:18Z,cn2_gt,Nanjing: 59.43.139.113; Beijing: 59.43.46.70
108.165.255.145,443,HK,香港,HKG,149440,Evoxt Sdn. Bhd.,1.0,3110,True,True,Guangzhou: 59.43.16.166; Nanjing: 59.43.42.33,https://globalping.io?measurement=2eWnHDRmdWzdyAO4y00020wHC,cn2_gt,2026-08-13T06:10:46Z,cn2_gt,Guangzhou: 59.43.16.166; Nanjing: 59.43.42.33
151.158.0.128,443,HK,香港,HKG,149440,Evoxt Sdn. Bhd.,1.0,2589,True,True,Nanjing: 59.43.42.33; Beijing: 59.43.137.222; Beijing: 59.43.145.62,https://globalping.io?measurement=2E36UthXvDMb3TH6Y00020wGv,cn2_gt,2026-08-13T05:53:33Z,cn2_gt,Nanjing: 59.43.42.33; Beijing: 59.43.137.222; Beijing: 59.43.145.62
151.158.0.161,443,HK,香港,HKG,149440,Evoxt Sdn. Bhd.,1.0,2828,True,True,Nanjing: 59.43.139.129,https://globalping.io?measurement=23wrX9ji92XJB7eUT00020wGv,cn2_gt,2026-08-13T05:53:23Z,cn2_gt,Nanjing: 59.43.139.129
151.242.183.104,443,HK,香港,HKG,137897,"PAN-LIAN TECHNOLOGY CO., LIMITED",1.0,2046,True,True,"Guangzhou: 59.43.187.182; Nanjing: 59.43.139.113, 59.43.183.106",https://globalping.io?measurement=2OHqe1eTwvGtzqewN00020wGv,cn2_gt,2026-08-13T05:53:21Z,cn2_gt,"Guangzhou: 59.43.187.182; Nanjing: 59.43.139.113, 59.43.183.106"
154.21.202.206,443,HK,香港,HKG,979,NetLab Global,1.0,,True,True,Nanjing: 59.43.46.101; Xi'an: 59.43.46.157,https://globalping.io?measurement=2GozkX92ms1ulbWd100020wGp,cn2_gt,2026-08-13T05:47:50Z,cn2_gt,Nanjing: 59.43.46.101; Xi'an: 59.43.46.157
156.238.232.28,443,HK,香港,HKG,401696,cognetcloud INC,1.0,2056,True,True,"Guangzhou: 59.43.130.122; Nanjing: 59.43.130.214, 59.43.139.133, 59.43.186.226",https://globalping.io?measurement=2hgdjEMGOMqHTJhoX00020wGp,cn2_gt,2026-08-13T05:47:57Z,cn2_gt,"Guangzhou: 59.43.130.122; Nanjing: 59.43.130.214, 59.43.139.133, 59.43.186.226"
156.238.232.7,443,HK,香港,HKG,401696,cognetcloud INC,1.0,2086,True,True,Nanjing: 59.43.46.101; Shenzhen: 59.43.130.114,https://globalping.io?measurement=2318Ktwlwc3pQwguv00020wGp,cn2_gt,2026-08-13T05:48:02Z,cn2_gt,Nanjing: 59.43.46.101; Shenzhen: 59.43.130.114
