ip,port,country,city,datacenter,asn,organization,source_latency_ms,baidu_delay_ms,tested,cn2,cn2_evidence,trace_url,trace_status,traced_at,route_class,route_evidence
1.64.183.202,443,HK,香港,HKG,4760,HKT Limited,1.0,5804,True,False,,https://globalping.io?measurement=2vRtAw2dcmITFThfs00020wHi,other,2026-08-13T06:42:51Z,other,
101.47.76.154,443,HK,台北,TPE,150436,Byteplus Pte. Ltd.,1.0,7159,True,False,,https://globalping.io?measurement=2cRniFhPW5v48Jhpg00020wHx,other,2026-08-13T06:57:39Z,other,
101.79.165.113,443,HK,香港,HKG,54994,Meteverse Limited.,1.0,5146,True,False,,https://globalping.io?measurement=2ug0KH26vZz8zDYa800020wHn,other,2026-08-13T06:47:53Z,other,
103.122.247.43,443,HK,香港,HKG,152918,Liberally Network LLC,1.0,7847,True,False,,https://globalping.io?measurement=2auMVzHyOUOuWvyDA00020wI3,other,2026-08-13T07:03:36Z,other,
103.122.247.65,443,HK,香港,HKG,150452,LANDUPS LIMITED,1.0,6759,True,False,,https://globalping.io?measurement=29jSLevx5jtngqgy500020wI3,other,2026-08-13T07:03:22Z,other,
103.135.34.149,443,HK,香港,HKG,40065,CNSERVERS LLC,1.0,2910,True,False,,https://globalping.io?measurement=20N9e2f2oWNwMbhrD00020wHs,other,2026-08-13T06:52:52Z,other,
103.20.222.136,443,HK,香港,HKG,40065,CNSERVERS LLC,1.0,6316,True,False,,https://globalping.io?measurement=2tMMfyJqpvGTql2m600020wI3,other,2026-08-13T07:03:24Z,other,
103.57.248.163,443,HK,香港,HKG,9009,M247 Europe SRL,1.0,5920,True,False,,https://globalping.io?measurement=2csjXtZbaXvLsi8mQ00020wHx,other,2026-08-13T06:57:41Z,other,
103.57.248.168,443,HK,香港,HKG,9009,M247 Europe SRL,1.0,6691,True,False,,https://globalping.io?measurement=2QQ97VoNIMtgF9aZQ00020wHx,other,2026-08-13T06:57:46Z,other,
103.74.192.228,443,HK,香港,HKG,139659,LUCIDACLOUD LIMITED,1.0,3071,True,False,,https://globalping.io?measurement=2o2Vikn2afqj3OYDl00020wHc,other,2026-08-13T06:36:38Z,other,
103.97.201.44,443,HK,香港,HKG,205548,Zouter Limited,1.0,8461,True,False,,https://globalping.io?measurement=2LxNGasfmeRijg26k00020wHx,other,2026-08-13T06:57:21Z,other,
112.120.48.236,443,HK,香港,HKG,4760,HKT Limited,1.0,8484,True,False,,https://globalping.io?measurement=2iEAM7ZDw0rz4yW3O00020wHc,other,2026-08-13T06:36:45Z,other,
140.150.236.195,443,HK,香港,HKG,63150,BAGE CLOUD LLC,1.0,,True,False,,https://globalping.io?measurement=2e0F4ZSh7mR5sZzfo00020wHY,other,2026-08-13T06:32:24Z,other,
141.11.91.164,443,HK,香港,HKG,61112,AKILE LTD,1.0,4606,True,False,,https://globalping.io?measurement=212flA5rAwtlbmcrp00020wHn,other,2026-08-13T06:48:08Z,other,
145.79.143.105,443,HK,香港,HKG,205548,Zouter Limited,1.0,3261,True,False,,https://globalping.io?measurement=2N1SkeInsx3aqVnui00020wHc,other,2026-08-13T06:36:58Z,other,
151.236.20.179,443,HK,香港,HKG,9009,M247 Europe SRL,1.0,8157,True,False,,https://globalping.io?measurement=2QEiWqlYeTfdH4tti00020wHx,other,2026-08-13T06:57:44Z,other,
151.242.11.198,443,HK,香港,HKG,212336,ByteVirt LLC,1.0,3832,True,False,,https://globalping.io?measurement=2wSmK4imKbfQ9EiK200020wI3,other,2026-08-13T07:03:20Z,other,
154.12.177.26,443,HK,香港,HKG,906,DMIT Cloud Services,1.0,5497,True,False,,https://globalping.io?measurement=2pNiV6osabvf1KpOg00020wHs,other,2026-08-13T06:52:35Z,other,
154.12.177.92,443,HK,香港,HKG,906,DMIT Cloud Services,1.0,4697,True,False,,https://globalping.io?measurement=2b6lXKmgR6rtT54IT00020wHn,other,2026-08-13T06:48:02Z,other,
154.12.178.224,443,HK,香港,HKG,906,DMIT Cloud Services,1.0,6818,True,False,,https://globalping.io?measurement=2ZvOCeKumnnJf4zQq00020wHs,other,2026-08-13T06:52:47Z,other,
154.12.188.198,443,HK,香港,HKG,906,DMIT Cloud Services,1.0,2565,True,False,,https://globalping.io?measurement=2k58Pznu6fIeSEGTc00020wHC,other,2026-08-13T06:10:49Z,other,
154.203.0.193,443,HK,新加坡,SIN,4515,PCCW IMS Ltd (PCCW Business Internet Access),1.0,4326,True,False,,https://globalping.io?measurement=28rBS6WqnZ6oae1Rq00020wHC,other,2026-08-13T06:10:37Z,other,
154.203.0.235,443,HK,新加坡,SIN,137897,"PAN-LIAN TECHNOLOGY CO., LIMITED",1.0,7229,True,False,,https://globalping.io?measurement=21wtEYIjEVf2CnHBq00020wGv,other,2026-08-13T05:53:23Z,other,
154.21.203.163,443,HK,香港,HKG,979,NetLab Global,1.0,4191,True,False,,https://globalping.io?measurement=2B5Ncys4CjYrFNxHq00020wGp,other,2026-08-13T05:47:50Z,other,
154.3.34.219,443,HK,香港,HKG,906,DMIT Cloud Services,1.0,,True,False,,https://globalping.io?measurement=2mRNFG48wafOn0Jmp00020wHn,other,2026-08-13T06:47:46Z,other,
154.3.35.10,443,HK,香港,HKG,906,DMIT Cloud Services,1.0,4199,True,False,,https://globalping.io?measurement=2b5OucLFVvSLScojA00020wGp,other,2026-08-13T05:47:48Z,other,
154.3.35.102,443,HK,香港,HKG,906,DMIT Cloud Services,1.0,4316,True,False,,https://globalping.io?measurement=25GSgBYdXxSdXEooU00020wHx,other,2026-08-13T06:57:41Z,other,
154.3.35.229,443,HK,香港,HKG,906,DMIT Cloud Services,1.0,5281,True,False,,https://globalping.io?measurement=2cwaegRDcKzNykO0g00020wHx,other,2026-08-13T06:57:39Z,other,
154.3.37.72,443,HK,香港,HKG,906,DMIT Cloud Services,1.0,5889,True,False,,https://globalping.io?measurement=2aYDmw1u9HML5cCRI00020wHC,other,2026-08-13T06:10:29Z,other,
154.3.38.53,443,HK,香港,HKG,906,DMIT Cloud Services,1.0,3696,True,False,,https://globalping.io?measurement=2nwWVN22w1h5C8ewj00020wHc,other,2026-08-13T06:36:38Z,other,
154.3.39.160,443,HK,香港,HKG,906,DMIT Cloud Services,1.0,5866,True,False,,https://globalping.io?measurement=2hLbjSvXHSCttg3Oz00020wHn,other,2026-08-13T06:47:45Z,other,
154.38.116.8,443,HK,香港,HKG,140227,"Hong Kong Communications International Co., Limited",1.0,,True,False,,https://globalping.io?measurement=2o2DfsmBw3iFg5OUn00020wxT,other,2026-08-15T01:51:48Z,other,
154.40.61.228,443,HK,香港,HKG,151338,POLONETWORK LIMITED,1.0,6420,True,False,,https://globalping.io?measurement=28vi12uKXhXsM557Z00020wHx,other,2026-08-13T06:57:28Z,other,
163.5.205.89,443,HK,香港,HKG,152918,Liberally Network LLC,1.0,5402,True,False,,https://globalping.io?measurement=2Bfs2KsJ6SQVO7L5t00020wHx,other,2026-08-13T06:57:25Z,other,
167.148.203.227,443,HK,香港,HKG,205548,Zouter Limited,1.0,3394,True,False,,https://globalping.io?measurement=2UaiNkyeS4YgCH1vj00020wHR,other,2026-08-13T06:25:44Z,other,
185.65.151.81,443,HK,香港,HKG,51115,HLL LLC,1.0,7689,True,False,,https://globalping.io?measurement=2ILiMckYTQ3BO9DdP00020wH1,other,2026-08-13T05:59:11Z,other,
185.92.47.68,443,HK,香港,HKG,150452,LANDUPS LIMITED,1.0,3707,True,False,,https://globalping.io?measurement=2LvbJT6yAEkaln4FK00020wHX,other,2026-08-13T06:32:09Z,other,
186.244.250.67,443,HK,香港,HKG,139659,LUCIDACLOUD LIMITED,1.0,3951,True,False,,https://globalping.io?measurement=2I3xs9xb93Bo0SaIn00020wGv,other,2026-08-13T05:53:30Z,other,
191.223.208.119,443,HK,香港,HKG,906,DMIT Cloud Services,1.0,1505,True,False,,https://globalping.io?measurement=2lv9vqCEJJHWRYYfz00020wHn,other,2026-08-13T06:48:10Z,other,
191.223.208.183,443,HK,香港,HKG,906,DMIT Cloud Services,1.0,2457,True,False,,https://globalping.io?measurement=2NbJuu7TMoLqO86qJ00020wHR,other,2026-08-13T06:26:00Z,other,
191.223.208.202,443,HK,香港,HKG,906,DMIT Cloud Services,1.0,6050,True,False,,https://globalping.io?measurement=2naRBqy4VZW0mSxuR00020wHC,other,2026-08-13T06:10:19Z,other,
191.223.208.210,443,HK,香港,HKG,906,DMIT Cloud Services,1.0,2374,True,False,,https://globalping.io?measurement=2RghPOLQw5j1jicKd00020wI3,other,2026-08-13T07:03:34Z,other,
191.223.208.224,443,HK,香港,HKG,906,DMIT Cloud Services,1.0,8233,True,False,,https://globalping.io?measurement=2AnR8YNwRc9woMroM00020wGa,other,2026-08-13T05:32:11Z,other,
191.223.208.85,443,HK,香港,HKG,906,DMIT Cloud Services,1.0,3766,True,False,,https://globalping.io?measurement=2K0VGfS9iFalnzCzm00020wGk,other,2026-08-13T05:42:17Z,other,
191.223.212.116,443,HK,香港,HKG,906,DMIT Cloud Services,1.0,3087,True,False,,https://globalping.io?measurement=2w5lvMYcbZG6VYbsW00020wH5,other,2026-08-13T06:04:00Z,other,
191.223.212.153,443,HK,香港,HKG,906,DMIT Cloud Services,1.0,8132,True,False,,https://globalping.io?measurement=2Pyx2BWAvnpBSt6Fm00020wH6,other,2026-08-13T06:04:10Z,other,
191.223.212.156,443,HK,香港,HKG,906,DMIT Cloud Services,1.0,4401,True,False,,https://globalping.io?measurement=2NShMaXeFaeytyIk300020wH1,other,2026-08-13T05:59:13Z,other,
191.223.212.182,443,HK,香港,HKG,906,DMIT Cloud Services,1.0,4524,True,False,,https://globalping.io?measurement=2pvAp0wO8WA3tnicP00020wH6,other,2026-08-13T06:04:10Z,other,
191.223.212.202,443,HK,香港,HKG,906,DMIT Cloud Services,1.0,4888,True,False,,https://globalping.io?measurement=2zNmNr9lfufKRuJ4z00020wHs,other,2026-08-13T06:52:52Z,other,
191.223.212.83,443,HK,香港,HKG,906,DMIT Cloud Services,1.0,2001,True,False,,https://globalping.io?measurement=2qHFGBbESU5yfHTF300020wH6,other,2026-08-13T06:04:10Z,other,
191.223.216.142,443,HK,香港,HKG,906,DMIT Cloud Services,1.0,,True,False,,https://globalping.io?measurement=2opBOnWx4v7Za4mAk00020wHC,other,2026-08-13T06:10:32Z,other,
194.29.186.253,443,HK,香港,HKG,63473,"HostHatch, LLC",1.0,3797,True,False,,https://globalping.io?measurement=2p7Slhi09ibhXlcbL00020wGk,other,2026-08-13T05:42:22Z,other,
2.27.109.236,443,HK,香港,HKG,150452,LANDUPS LIMITED,1.0,3809,True,False,,https://globalping.io?measurement=2hLaO8imBrPX8FuZh00020wI2,other,2026-08-13T07:03:08Z,other,
2.27.132.60,443,HK,香港,HKG,402279,Geoscry Network LLC,1.0,2554,True,False,,https://globalping.io?measurement=2AxeY7DJqTwXzvtl500020wIK,other,2026-08-13T07:21:00Z,other,
205.189.160.50,443,HK,香港,HKG,133752,LEASEWEB HONG KONG LIMITED,1.0,2339,True,False,,https://globalping.io?measurement=2LDFbA9dA778dCkoO00020wHS,other,2026-08-13T06:26:14Z,other,
208.75.133.158,443,HK,香港,HKG,46829,Lamhosting LLC,1.0,6232,True,False,,https://globalping.io?measurement=2AmpgUem88GSYc8ki00020wHH,other,2026-08-13T06:15:36Z,other,
208.75.133.54,443,HK,香港,HKG,46829,Lamhosting LLC,1.0,2479,True,False,,https://globalping.io?measurement=238UohJVYMqbn4eWf00020wHs,other,2026-08-13T06:52:37Z,other,
212.192.15.182,443,HK,香港,HKG,26383,Baxet Group Inc.,1.0,5341,True,False,,https://globalping.io?measurement=2p2IJQ1IWDIpvp80v00020wHw,other,2026-08-13T06:57:12Z,other,
216.236.38.234,443,HK,香港,HKG,138997,Eons Data Communications Limited,1.0,1790,True,False,,https://globalping.io?measurement=2TfB0pug4FP2H9FPg00020wH6,other,2026-08-13T06:04:32Z,other,
216.236.58.107,443,HK,香港,HKG,138997,Eons Data Communications Limited,1.0,2248,True,False,,https://globalping.io?measurement=2zH8d6CGfIydO2w5L00020wGN,other,2026-08-13T05:19:56Z,other,
217.60.38.15,443,HK,香港,HKG,56971,Cgi Global Limited,1.0,2368,True,False,,https://globalping.io?measurement=2mF34gkp9XrHFPrTJ00020wI2,other,2026-08-13T07:03:08Z,other,
219.76.13.177,443,HK,香港,HKG,4760,HKT Limited,1.0,,True,False,,https://globalping.io?measurement=2Ti70ql0hLsU7h6tP00020wGf,other,2026-08-13T05:37:41Z,other,
219.78.164.118,443,HK,香港,HKG,4760,HKT Limited,1.0,3451,True,False,,https://globalping.io?measurement=2SrDk0G4AeyjrUYOt00020wF6,other,2026-08-13T04:00:53Z,other,
23.141.52.44,443,HK,新加坡,SIN,150452,LANDUPS LIMITED,1.0,1364,True,False,,https://globalping.io?measurement=23648mHscmYVvokDq00020wGD,other,2026-08-13T05:09:21Z,other,
23.175.201.28,443,HK,香港,HKG,62711,Maxwell Telecom LLC,1.0,3648,True,False,,https://globalping.io?measurement=2AiczTqCBxGCRldZy00020wI3,other,2026-08-13T07:03:36Z,other,
23.225.247.214,443,HK,香港,HKG,40065,CNSERVERS LLC,1.0,1373,True,False,,https://globalping.io?measurement=2Xyixr0gBchFPVkuj00020wGC,other,2026-08-13T05:09:04Z,other,
