ip,port,country,city,datacenter,asn,organization,source_latency_ms,baidu_delay_ms,tested,cn2,cn2_evidence,trace_url,trace_status,traced_at,route_class,route_evidence
202.55.27.177,443,JP,东京,NRT,4809,China Telecom Next Generation Carrier Network,73.0,5466,True,True,"Guangzhou: 59.43.144.209, 59.43.246.26, 59.43.39.190; Nanjing: 59.43.139.133, 59.43.186.186; Beijing: 59.43.183.2, 59.43.39.98, 59.43.46.82",https://globalping.io?measurement=21pqJP54vnfweuTe800020w5Y,cn2_gia,,cn2_gia,
1.64.183.202,443,HK,香港,HKG,4760,HKT Limited,1.0,7209,True,False,,https://globalping.io?measurement=2vRtAw2dcmITFThfs00020wHi,other,2026-08-13T06:42:51Z,other,
101.47.76.154,443,HK,台北,TPE,150436,Byteplus Pte. Ltd.,1.0,5840,True,False,,https://globalping.io?measurement=2cRniFhPW5v48Jhpg00020wHx,other,2026-08-13T06:57:39Z,other,
101.79.165.113,443,HK,香港,HKG,54994,Meteverse Limited.,1.0,2737,True,False,,https://globalping.io?measurement=2ug0KH26vZz8zDYa800020wHn,other,2026-08-13T06:47:53Z,other,
103.117.101.126,443,HK,香港,HKG,906,DMIT Cloud Services,1.0,,True,False,,,pending,,,
103.122.247.43,443,HK,香港,HKG,152918,Liberally Network LLC,1.0,7978,True,False,,https://globalping.io?measurement=2auMVzHyOUOuWvyDA00020wI3,other,2026-08-13T07:03:36Z,other,
103.122.247.54,443,HK,香港,HKG,150452,LANDUPS LIMITED,1.0,,True,False,,,pending,,,
103.122.247.65,443,HK,香港,HKG,150452,LANDUPS LIMITED,1.0,6591,True,False,,https://globalping.io?measurement=29jSLevx5jtngqgy500020wI3,other,2026-08-13T07:03:22Z,other,
103.135.34.149,443,HK,香港,HKG,40065,CNSERVERS LLC,1.0,,True,False,,https://globalping.io?measurement=20N9e2f2oWNwMbhrD00020wHs,other,2026-08-13T06:52:52Z,other,
103.193.173.37,443,HK,香港,HKG,206300,YUNYOO LTD,1.0,,True,False,,,pending,,,
103.198.203.181,443,HK,香港,HKG,63139,BEDGE CO LIMITED,1.0,,True,False,,,pending,,,
103.198.203.246,443,HK,香港,HKG,63139,BEDGE CO LIMITED,1.0,,True,False,,,pending,,,
103.198.203.247,443,HK,香港,HKG,63139,BEDGE CO LIMITED,1.0,,True,False,,,pending,,,
103.20.222.136,443,HK,香港,HKG,40065,CNSERVERS LLC,1.0,7533,True,False,,https://globalping.io?measurement=2tMMfyJqpvGTql2m600020wI3,other,2026-08-13T07:03:24Z,other,
103.207.69.104,443,HK,香港,HKG,979,NetLab Global,1.0,5611,True,True,"Guangzhou: 59.43.22.41, 59.43.248.250; Nanjing: 59.43.139.109, 59.43.16.166, 59.43.188.122",https://globalping.io?measurement=2xOvbhFIn0XZvNYYY00020wGp,cn2_gt,2026-08-13T05:48:11Z,cn2_gt,"Guangzhou: 59.43.22.41, 59.43.248.250; Nanjing: 59.43.139.109, 59.43.16.166, 59.43.188.122"
103.27.77.140,443,HK,香港,HKG,979,NetLab Global,1.0,,True,False,,,pending,,,
103.52.152.38,443,HK,香港,HKG,401701,cognetcloud INC,1.0,5266,True,True,"Nanjing: 59.43.139.117, 59.43.183.110; Shenzhen: 59.43.248.250",https://globalping.io?measurement=2StycnC4pUnF7VjtG00020wGv,cn2_gt,2026-08-13T05:53:35Z,cn2_gt,"Nanjing: 59.43.139.117, 59.43.183.110; Shenzhen: 59.43.248.250"
103.52.153.148,443,HK,香港,HKG,401701,cognetcloud INC,1.0,,True,False,,,pending,,,
103.57.248.163,443,HK,香港,HKG,9009,M247 Europe SRL,1.0,6761,True,False,,https://globalping.io?measurement=2csjXtZbaXvLsi8mQ00020wHx,other,2026-08-13T06:57:41Z,other,
103.57.248.168,443,HK,香港,HKG,9009,M247 Europe SRL,1.0,7408,True,False,,https://globalping.io?measurement=2QQ97VoNIMtgF9aZQ00020wHx,other,2026-08-13T06:57:46Z,other,
103.73.162.26,443,HK,香港,HKG,401696,cognetcloud INC,1.0,,True,False,,,pending,,,
103.74.192.228,443,HK,香港,HKG,139659,LUCIDACLOUD LIMITED,1.0,,True,False,,https://globalping.io?measurement=2o2Vikn2afqj3OYDl00020wHc,other,2026-08-13T06:36:38Z,other,
103.97.201.44,443,HK,香港,HKG,205548,Zouter Limited,1.0,5783,True,False,,https://globalping.io?measurement=2LxNGasfmeRijg26k00020wHx,other,2026-08-13T06:57:21Z,other,
108.165.147.93,443,HK,香港,HKG,149440,Evoxt Sdn. Bhd.,1.0,,True,False,,,pending,,,
108.165.155.194,443,HK,香港,HKG,149440,Evoxt Sdn. Bhd.,1.0,6093,True,True,Nanjing: 59.43.139.113; Beijing: 59.43.46.70,https://globalping.io?measurement=2E8Ly14sqavFkc8vS00020wGv,cn2_gt,2026-08-13T05:53:18Z,cn2_gt,Nanjing: 59.43.139.113; Beijing: 59.43.46.70
108.165.255.145,443,HK,香港,HKG,149440,Evoxt Sdn. Bhd.,1.0,,True,True,Guangzhou: 59.43.16.166; Nanjing: 59.43.42.33,https://globalping.io?measurement=2eWnHDRmdWzdyAO4y00020wHC,cn2_gt,2026-08-13T06:10:46Z,cn2_gt,Guangzhou: 59.43.16.166; Nanjing: 59.43.42.33
112.120.48.236,443,HK,香港,HKG,4760,HKT Limited,1.0,,True,False,,https://globalping.io?measurement=2iEAM7ZDw0rz4yW3O00020wHc,other,2026-08-13T06:36:45Z,other,
119.236.86.75,443,HK,香港,HKG,4760,HKT Limited,1.0,,True,False,,,pending,,,
13.88.221.14,443,HK,香港,HKG,8075,Microsoft Corporation,1.0,,True,False,,,pending,,,
140.150.236.195,443,HK,香港,HKG,63150,BAGE CLOUD LLC,1.0,,True,False,,https://globalping.io?measurement=2e0F4ZSh7mR5sZzfo00020wHY,other,2026-08-13T06:32:24Z,other,
141.11.91.164,443,HK,香港,HKG,61112,AKILE LTD,1.0,6174,True,False,,https://globalping.io?measurement=212flA5rAwtlbmcrp00020wHn,other,2026-08-13T06:48:08Z,other,
143.20.156.117,443,HK,香港,HKG,205548,Zouter Limited,1.0,,True,False,,,pending,,,
145.79.143.105,443,HK,香港,HKG,205548,Zouter Limited,1.0,,True,False,,https://globalping.io?measurement=2N1SkeInsx3aqVnui00020wHc,other,2026-08-13T06:36:58Z,other,
151.158.0.128,443,HK,香港,HKG,149440,Evoxt Sdn. Bhd.,1.0,5400,True,True,Nanjing: 59.43.42.33; Beijing: 59.43.137.222; Beijing: 59.43.145.62,https://globalping.io?measurement=2E36UthXvDMb3TH6Y00020wGv,cn2_gt,2026-08-13T05:53:33Z,cn2_gt,Nanjing: 59.43.42.33; Beijing: 59.43.137.222; Beijing: 59.43.145.62
151.158.0.138,443,HK,香港,HKG,149440,Evoxt Sdn. Bhd.,1.0,6073,True,True,"Nanjing: 59.43.130.106, 59.43.139.113, 59.43.181.14",https://globalping.io?measurement=2Q5MA5eykaGHBqGaR00020ySR,cn2_gt,2026-08-19T01:55:18Z,cn2_gt,"Nanjing: 59.43.130.106, 59.43.139.113, 59.43.181.14"
