ip,port,country,datacenter,route_class,status,speed_mbps,speed_mbytes_s,bytes_downloaded,elapsed_seconds
103.232.213.201,17447,日本东京,NRT,custom,ok,5.532,0.692,2097152,3.033
154.83.94.181,18742,日本东京,NRT,custom,ok,5.036,0.629,2097152,3.332
156.231.113.112,12092,日本东京,NRT,custom,ok,4.822,0.603,2097152,3.479
103.232.213.201,15247,日本东京,NRT,custom,ok,4.657,0.582,2097152,3.602
156.231.112.162,36560,日本东京,NRT,custom,ok,4.626,0.578,2097152,3.627
103.232.213.201,17441,日本东京,NRT,custom,ok,4.619,0.577,2097152,3.633
103.232.213.201,18570,香港,HKG,custom,ok,4.614,0.577,2097152,3.636
156.226.173.114,443,香港,HKG,custom,ok,4.554,0.569,2097152,3.684
103.232.213.201,17445,日本东京,NRT,custom,ok,4.541,0.568,2097152,3.694
154.83.84.230,7768,香港,HKG,custom,ok,4.508,0.564,2097152,3.721
45.207.157.100,16364,香港,HKG,custom,ok,4.483,0.56,2097152,3.743
103.232.213.201,17469,香港,HKG,custom,ok,4.415,0.552,2097152,3.8
103.232.213.201,17463,香港,HKG,custom,ok,4.392,0.549,2097152,3.82
23.158.136.69,25456,美国洛杉矶,LAX,custom,ok,4.365,0.546,2097152,3.844
151.242.165.206,24380,日本东京,NRT,custom,ok,4.362,0.545,2097152,3.846
156.231.112.115,22716,日本东京,NRT,custom,ok,4.295,0.537,2097152,3.907
50.114.55.60,443,新加坡,SIN,custom,ok,4.165,0.521,2097152,4.028
45.202.240.236,39545,美国洛杉矶,LAX,custom,ok,4.165,0.521,2097152,4.028
103.232.213.203,33539,台北,TPE,custom,ok,4.038,0.505,2097152,4.155
91.229.132.67,8444,香港,HKG,custom,ok,3.996,0.5,2097152,4.198
45.196.233.54,18549,日本东京,NRT,custom,ok,3.951,0.494,2097152,4.246
103.232.213.201,15249,日本东京,NRT,custom,ok,3.88,0.485,2097152,4.325
45.202.240.234,443,美国洛杉矶,LAX,custom,ok,3.87,0.484,2097152,4.336
103.232.213.201,15263,香港,HKG,custom,ok,3.864,0.483,2097152,4.341
45.196.233.54,15241,日本东京,NRT,custom,ok,3.733,0.467,2097152,4.494
156.226.174.20,443,德国法兰克福,FRA,custom,ok,3.701,0.463,2097152,4.533
178.253.32.238,10291,香港,HKG,custom,ok,3.689,0.461,2097152,4.548
103.232.213.201,17467,香港,HKG,custom,ok,3.683,0.46,2097152,4.556
156.246.91.248,39545,日本东京,NRT,custom,ok,3.596,0.449,2097152,4.666
185.126.80.18,48678,新加坡,SIN,custom,ok,3.539,0.442,2097152,4.741
156.246.88.8,46392,日本东京,NRT,custom,ok,3.509,0.439,2097152,4.781
45.192.249.51,30027,日本东京,NRT,custom,ok,3.506,0.438,2097152,4.785
45.196.233.54,17449,日本东京,NRT,custom,ok,3.484,0.436,2097152,4.815
45.196.233.54,15247,日本东京,NRT,custom,ok,3.471,0.434,2097152,4.833
103.232.213.203,57360,台北,TPE,custom,ok,3.433,0.429,2097152,4.886
103.232.213.201,15267,香港,HKG,custom,ok,3.428,0.428,2097152,4.894
103.232.213.202,443,日本东京,NRT,custom,ok,3.403,0.425,2097152,4.931
45.202.248.137,28105,香港,HKG,custom,ok,3.392,0.424,2097152,4.945
156.246.90.115,443,日本东京,NRT,custom,ok,3.358,0.42,2097152,4.996
141.11.86.234,51564,台北,TPE,custom,ok,3.347,0.418,2097152,5.013
156.246.90.188,22222,日本东京,NRT,custom,ok,3.332,0.417,2097152,5.035
103.232.213.201,18543,日本东京,NRT,custom,ok,3.304,0.413,2097152,5.077
83.147.13.159,34443,台北,TPE,custom,ok,3.251,0.406,2097152,5.16
156.246.88.156,54310,日本东京,NRT,custom,ok,3.247,0.406,2097152,5.167
82.153.135.151,10073,新加坡,SIN,custom,ok,3.179,0.397,2097152,5.278
45.202.242.250,26419,美国洛杉矶,LAX,custom,ok,3.172,0.396,2097152,5.289
