ip,port,country,datacenter,route_class,status,speed_mbps,speed_mbytes_s,bytes_downloaded,elapsed_seconds
43.155.217.186,443,KR,ICN,other,ok,8.973,1.122,2097152,1.87
114.204.44.25,443,KR,KIX,other,ok,7.957,0.995,2097152,2.108
15.164.238.229,443,KR,ICN,other,ok,7.868,0.984,2097152,2.132
54.169.214.154,443,SG,SIN,other,ok,7.701,0.963,2097152,2.179
18.142.104.237,443,SG,SIN,other,ok,7.688,0.961,2097152,2.182
43.203.221.104,443,KR,ICN,other,ok,7.675,0.959,2097152,2.186
3.36.122.226,443,KR,ICN,other,ok,7.667,0.958,2097152,2.188
13.158.46.128,443,JP,NRT,other,ok,7.572,0.946,2097152,2.216
13.209.30.10,443,KR,ICN,other,ok,7.37,0.921,2097152,2.276
8.210.214.167,443,HK,HKG,other,ok,7.277,0.91,2097152,2.305
54.179.100.240,443,SG,SIN,other,ok,7.184,0.898,2097152,2.335
13.212.49.0,443,SG,SIN,other,ok,7.091,0.886,2097152,2.366
45.78.49.24,443,JP,KIX,other,ok,7.083,0.885,2097152,2.369
54.254.197.4,443,SG,SIN,other,ok,6.847,0.856,2097152,2.45
47.80.61.55,443,KR,ICN,other,ok,6.761,0.845,2097152,2.481
3.113.22.71,443,JP,NRT,other,ok,6.719,0.84,2097152,2.497
154.203.0.234,443,HK,SIN,other,ok,6.625,0.828,2097152,2.533
54.251.197.173,443,SG,SIN,other,ok,6.579,0.822,2097152,2.55
43.135.6.72,443,HK,HKG,other,ok,6.555,0.819,2097152,2.559
35.77.6.81,443,JP,NRT,other,ok,6.541,0.818,2097152,2.565
91.110.209.123,443,HK,HKG,other,ok,6.483,0.81,2097152,2.588
43.155.109.139,443,HK,HKG,other,ok,6.447,0.806,2097152,2.602
168.107.62.215,443,KR,ICN,other,ok,6.441,0.805,2097152,2.605
3.36.109.49,443,KR,ICN,other,ok,6.425,0.803,2097152,2.611
219.79.80.205,443,HK,HKG,other,ok,6.4,0.8,2097152,2.621
152.69.229.110,443,KR,ICN,other,ok,6.358,0.795,2097152,2.639
18.141.10.237,443,SG,SIN,other,ok,6.339,0.792,2097152,2.647
